iteration,forward_time,backward_time,optimizer_time,comm_time,idle_time,forward_energy,backward_energy,optimizer_energy,comm_energy,idle_energy,total_energy,simulated_gpu_count,simulated_total_energy,simulated_total_power,master_gpu_power,power_gpu1,power_gpu2,power_gpu3,power_gpu4,power_gpu5,power_gpu6,power_gpu7,power_gpu8,power_gpu9,power_gpu10,power_gpu11,power_gpu12,power_gpu13,power_gpu14,power_gpu15,power_gpu16
11,0.13119816780090332,0.12794208526611328,0.029619455337524414,0.09436511993408203,4.444202661514282,36.73548698425293,40.94146728515625,7.4048638343811035,16.985721588134766,311.09418630599976,413.1617259979248,16,6683.560132962214,1384.5259404942237,85.58808716963894,85.58808716963894,88.77620269192603,84.97215219905506,86.03921577393588,88.77620269192603,84.97215219905506,86.03921577393588,88.77620269192603,84.97215219905506,86.03921577393588,88.77620269192603,84.97215219905506,86.03921577393588,88.77620269192603,84.97215219905506,86.03921577393588
12,0.12596344947814941,0.12443041801452637,0.02989983558654785,0.0,0.0,35.269765853881836,39.81773376464844,7.474958896636963,0.0,0.0,82.56245851516724,16,1317.5721007495692,4700.683912178947,294.55695082750884,294.55695082750884,292.3063320254052,294.0797303702897,294.8393298745928,292.3063320254052,294.0797303702897,294.8393298745928,292.3063320254052,294.0797303702897,294.8393298745928,292.3063320254052,294.0797303702897,294.8393298745928,292.3063320254052,294.0797303702897,294.8393298745928
13,0.13212132453918457,0.1262073516845703,0.02993941307067871,0.0,0.0,36.99397087097168,40.3863525390625,7.484853267669678,0.0,0.0,84.86517667770386,16,1357.2405903393842,4708.25818307317,294.3967085826957,294.3967085826957,293.7931091225348,294.69130016756066,294.28788560799927,293.7931091225348,294.69130016756066,294.28788560799927,293.7931091225348,294.69130016756066,294.28788560799927,293.7931091225348,294.69130016756066,294.28788560799927,293.7931091225348,294.69130016756066,294.28788560799927
14,0.12911677360534668,0.12502241134643555,0.029925107955932617,0.0,0.0,36.15269660949707,40.007171630859375,7.481276988983154,0.0,0.0,83.6411452293396,16,1338.3127291611816,4711.302203673888,294.4444173999456,294.4444173999456,294.41199815446595,294.33050748350803,294.6290516168145,294.41199815446595,294.33050748350803,294.6290516168145,294.41199815446595,294.33050748350803,294.6290516168145,294.41199815446595,294.33050748350803,294.6290516168145,294.41199815446595,294.33050748350803,294.6290516168145
15,0.12494897842407227,0.12061572074890137,0.02970433235168457,0.0,0.0,34.985713958740234,38.59703063964844,7.426083087921143,0.0,0.0,81.00882768630981,16,1295.1310698906134,4704.964676618908,294.28965269946525,294.28965269946525,293.13763697389976,294.50691122739363,294.49045658259524,293.13763697389976,294.50691122739363,294.49045658259524,293.13763697389976,294.50691122739363,294.49045658259524,293.13763697389976,294.50691122739363,294.49045658259524,293.13763697389976,294.50691122739363,294.49045658259524
16,0.12588024139404297,0.12410163879394531,0.017693281173706055,0.0,0.0,35.24646759033203,39.7125244140625,4.423320293426514,0.0,0.0,79.38231229782104,16,1267.7602460532166,4736.189340856187,296.562116163465,296.562116163465,295.8230372811151,296.6192512258011,295.4831564316283,295.8230372811151,296.6192512258011,295.4831564316283,295.8230372811151,296.6192512258011,295.4831564316283,295.8230372811151,296.6192512258011,295.4831564316283,295.8230372811151,296.6192512258011,295.4831564316283
17,0.1307976245880127,0.1276075839996338,0.029787302017211914,0.0,0.0,36.623334884643555,40.83442687988281,7.4468255043029785,0.0,0.0,84.90458726882935,16,1357.35479397478,4709.889202623496,294.6106652481413,294.6106652481413,295.04289759891515,294.0390314147768,293.97377846137897,295.04289759891515,294.0390314147768,293.97377846137897,295.04289759891515,294.0390314147768,293.97377846137897,295.04289759891515,294.0390314147768,293.97377846137897,295.04289759891515,294.0390314147768,293.97377846137897
18,0.1258683204650879,0.12241387367248535,0.029499530792236328,0.0,0.0,35.24312973022461,39.17243957519531,7.374882698059082,0.0,0.0,81.790452003479,16,1307.1703735731041,4705.746477394805,294.4414432740166,294.4414432740166,293.36338324881297,294.60082290027844,294.29680067506627,293.36338324881297,294.60082290027844,294.29680067506627,293.36338324881297,294.60082290027844,294.29680067506627,293.36338324881297,294.60082290027844,294.29680067506627,293.36338324881297,294.60082290027844,294.29680067506627
19,0.13540911674499512,0.12552523612976074,0.029761314392089844,0.0,0.0,37.91455268859863,40.16807556152344,7.440328598022461,0.0,0.0,85.52295684814453,16,1368.013424245608,4705.998672452976,294.20100289846516,294.20100289846516,293.61163754997614,294.5473346599761,294.2005617009499,293.61163754997614,294.5473346599761,294.2005617009499,293.61163754997614,294.5473346599761,294.2005617009499,293.61163754997614,294.5473346599761,294.2005617009499,293.61163754997614,294.5473346599761,294.2005617009499
20,0.12535476684570312,0.1253669261932373,0.029497623443603516,0.0,0.0,35.099334716796875,40.11741638183594,7.374405860900879,0.0,0.0,82.59115695953369,16,1319.6904467910417,4709.491348977903,294.73755769680724,294.73755769680724,293.71557077118257,294.5234068088906,294.7117806761459,293.71557077118257,294.5234068088906,294.7117806761459,293.71557077118257,294.5234068088906,294.7117806761459,293.71557077118257,294.5234068088906,294.7117806761459,293.71557077118257,294.5234068088906,294.7117806761459
21,0.12533092498779297,0.12503528594970703,0.024968385696411133,0.09364008903503418,4.733819961547852,35.09265899658203,40.01129150390625,6.242096424102783,16.855216026306152,331.3673973083496,429.5686602592468,16,6947.1775025711195,1361.445635747913,84.1830192977774,84.1830192977774,88.00594102443038,83.8068674814232,83.63971478417353,88.00594102443038,83.8068674814232,83.63971478417353,88.00594102443038,83.8068674814232,83.63971478417353,88.00594102443038,83.8068674814232,83.63971478417353,88.00594102443038,83.8068674814232,83.63971478417353
22,0.12897968292236328,0.1252439022064209,0.029703617095947266,0.0,0.0,36.11431121826172,40.07804870605469,7.425904273986816,0.0,0.0,83.61826419830322,16,1336.8443089969635,4708.4051775315165,294.50599852041813,294.50599852041813,294.1062182067747,294.82642116248985,293.84719643295506,294.1062182067747,294.82642116248985,293.84719643295506,294.1062182067747,294.82642116248985,293.84719643295506,294.1062182067747,294.82642116248985,293.84719643295506,294.1062182067747,294.82642116248985,293.84719643295506
23,0.13153696060180664,0.12723016738891602,0.0299379825592041,0.0,0.0,36.83034896850586,40.713653564453125,7.484495639801025,0.0,0.0,85.02849817276001,16,1357.9338394967956,4703.532393001971,294.5167753033445,294.5167753033445,292.86845257779476,294.595259072723,294.3394118892076,292.86845257779476,294.595259072723,294.3394118892076,292.86845257779476,294.595259072723,294.3394118892076,292.86845257779476,294.595259072723,294.3394118892076,292.86845257779476,294.595259072723,294.3394118892076
24,0.12941360473632812,0.12703990936279297,0.029951095581054688,0.0,0.0,36.235809326171875,40.65277099609375,7.487773895263672,0.0,0.0,84.3763542175293,16,1349.4500961078263,4711.691259490339,294.60543359183794,294.60543359183794,295.0038973017346,294.2573853886182,294.1558824893473,295.0038973017346,294.2573853886182,294.1558824893473,295.0038973017346,294.2573853886182,294.1558824893473,295.0038973017346,294.2573853886182,294.1558824893473,295.0038973017346,294.2573853886182,294.1558824893473
25,0.13684725761413574,0.12990808486938477,0.0294644832611084,0.0,0.0,38.31723213195801,41.570587158203125,7.3661208152771,0.0,0.0,87.25394010543823,16,1396.3785739751922,4713.994313057932,294.5580697919249,294.5580697919249,294.1783611191025,294.72080300664464,294.9880845274543,294.1783611191025,294.72080300664464,294.9880845274543,294.1783611191025,294.72080300664464,294.9880845274543,294.1783611191025,294.72080300664464,294.9880845274543,294.1783611191025,294.72080300664464,294.9880845274543
26,0.13439106941223145,0.1277003288269043,0.029395580291748047,0.0,0.0,37.629499435424805,40.864105224609375,7.348895072937012,0.0,0.0,85.84249973297119,16,1373.5396166103967,4712.181736327088,294.49857474122456,294.49857474122456,294.0681235123811,294.82110701899137,294.6474017858003,294.0681235123811,294.82110701899137,294.6474017858003,294.0681235123811,294.82110701899137,294.6474017858003,294.0681235123811,294.82110701899137,294.6474017858003,294.0681235123811,294.82110701899137,294.6474017858003
27,0.12822794914245605,0.12507009506225586,0.029910802841186523,0.0,0.0,35.903825759887695,40.022430419921875,7.477700710296631,0.0,0.0,83.4039568901062,16,1333.4903514256712,4708.505279178507,294.4962975559492,294.4962975559492,293.6146483021904,294.5946071524224,294.5925408698988,293.6146483021904,294.5946071524224,294.5925408698988,293.6146483021904,294.5946071524224,294.5925408698988,293.6146483021904,294.5946071524224,294.5925408698988,293.6146483021904,294.5946071524224,294.5925408698988
28,0.13602113723754883,0.12401318550109863,0.03007030487060547,0.0,0.0,38.08591842651367,39.68421936035156,7.517576217651367,0.0,0.0,85.2877140045166,16,1367.0149378432893,4712.144542845921,293.98949857288085,293.98949857288085,294.8017692012728,294.27324690910456,294.5559927442306,294.8017692012728,294.27324690910456,294.5559927442306,294.8017692012728,294.27324690910456,294.5559927442306,294.8017692012728,294.27324690910456,294.5559927442306,294.8017692012728,294.27324690910456,294.5559927442306
29,0.13311100006103516,0.12517881393432617,0.029856204986572266,0.0,0.0,37.271080017089844,40.057220458984375,7.464051246643066,0.0,0.0,84.79235172271729,16,1357.9842552381315,4712.833653007281,294.2686906531014,294.2686906531014,294.61446479165386,294.283735817274,294.814791861908,294.61446479165386,294.283735817274,294.814791861908,294.61446479165386,294.283735817274,294.814791861908,294.61446479165386,294.283735817274,294.814791861908,294.61446479165386,294.283735817274,294.814791861908
30,0.1315782070159912,0.1260385513305664,0.020524263381958008,0.0,0.0,36.84189796447754,40.33233642578125,5.131065845489502,0.0,0.0,82.30530023574829,16,1315.3097929766789,4728.931334193881,295.9121230096142,295.9121230096142,294.8918708333305,295.7768952352822,295.9350761682408,294.8918708333305,295.7768952352822,295.9350761682408,294.8918708333305,295.7768952352822,295.9350761682408,294.8918708333305,295.7768952352822,295.9350761682408,294.8918708333305,295.7768952352822,295.9350761682408
31,0.12523388862609863,0.1259613037109375,0.029728174209594727,0.09404444694519043,4.76685643196106,35.06548881530762,40.3076171875,7.432043552398682,16.928000450134277,333.67995023727417,433.41310024261475,16,7055.290250707242,1372.1375748979588,84.29169873433521,84.29169873433521,88.96169357439277,84.58607837536275,84.0214032829692,88.96169357439277,84.58607837536275,84.0214032829692,88.96169357439277,84.58607837536275,84.0214032829692,88.96169357439277,84.58607837536275,84.0214032829692,88.96169357439277,84.58607837536275,84.0214032829692
32,0.12321734428405762,0.125946044921875,0.029581308364868164,0.0,0.0,34.50085639953613,40.302734375,7.395327091217041,0.0,0.0,82.19891786575317,16,1313.53450352854,4712.321041353276,294.8896197204783,294.8896197204783,293.49688997300206,295.16544507260704,294.8239492809504,293.49688997300206,295.16544507260704,294.8239492809504,293.49688997300206,295.16544507260704,294.8239492809504,293.49688997300206,295.16544507260704,294.8239492809504,293.49688997300206,295.16544507260704,294.8239492809504
33,0.1225883960723877,0.1258697509765625,0.030135154724121094,0.0,0.0,34.324750900268555,40.2783203125,7.533788681030273,0.0,0.0,82.13685989379883,16,1313.0754709085788,4713.234175235652,294.82711670039924,294.82711670039924,294.14233369197296,294.7374089311974,294.80166908388026,294.14233369197296,294.7374089311974,294.80166908388026,294.14233369197296,294.7374089311974,294.80166908388026,294.14233369197296,294.7374089311974,294.80166908388026,294.14233369197296,294.7374089311974,294.80166908388026
34,0.12254452705383301,0.1200101375579834,0.029964685440063477,0.0,0.0,34.31246757507324,38.40324401855469,7.491171360015869,0.0,0.0,80.2068829536438,16,1284.08574355715,4711.9066712609465,294.316285938502,294.316285938502,294.5071079344929,294.92854983626023,294.0824192937358,294.5071079344929,294.92854983626023,294.0824192937358,294.5071079344929,294.92854983626023,294.0824192937358,294.5071079344929,294.92854983626023,294.0824192937358,294.5071079344929,294.92854983626023,294.0824192937358
35,0.12466812133789062,0.14377069473266602,0.029958724975585938,0.0,0.0,34.907073974609375,46.006622314453125,7.489681243896484,0.0,0.0,88.40337753295898,16,1411.8624332979387,4731.481460430721,296.26040892638844,296.26040892638844,295.35524030064266,294.8499271987801,296.83904280144384,295.35524030064266,294.8499271987801,296.83904280144384,295.35524030064266,294.8499271987801,296.83904280144384,295.35524030064266,294.8499271987801,296.83904280144384,295.35524030064266,294.8499271987801,296.83904280144384
36,0.12600159645080566,0.12553095817565918,0.030201435089111328,0.0,0.0,35.280447006225586,40.16990661621094,7.550358772277832,0.0,0.0,83.00071239471436,16,1328.5638247809295,4715.667520706954,294.6066694987975,294.6066694987975,294.9026141449303,294.7648599223697,294.54469617433125,294.9026141449303,294.7648599223697,294.54469617433125,294.9026141449303,294.7648599223697,294.54469617433125,294.9026141449303,294.7648599223697,294.54469617433125,294.9026141449303,294.7648599223697,294.54469617433125
37,0.12786221504211426,0.12469863891601562,0.030097007751464844,0.0,0.0,35.80142021179199,39.903564453125,7.524251937866211,0.0,0.0,83.2292366027832,16,1329.3330547936223,4702.9756991489285,294.4522260919588,294.4522260919588,292.90225684230546,294.30361479566875,294.49882297341975,292.90225684230546,294.30361479566875,294.49882297341975,292.90225684230546,294.30361479566875,294.49882297341975,292.90225684230546,294.30361479566875,294.49882297341975,292.90225684230546,294.30361479566875,294.49882297341975
38,0.12642979621887207,0.12769150733947754,0.030025243759155273,0.0,0.0,35.40034294128418,40.86128234863281,7.506310939788818,0.0,0.0,83.76793622970581,16,1339.4358031329878,4713.890827736522,294.80539890602176,294.80539890602176,295.06493575654116,294.39668768750363,294.3554623220552,295.06493575654116,294.39668768750363,294.3554623220552,295.06493575654116,294.39668768750363,294.3554623220552,295.06493575654116,294.39668768750363,294.3554623220552,295.06493575654116,294.39668768750363,294.3554623220552
39,0.12742042541503906,0.12607908248901367,0.029572486877441406,0.0,0.0,35.67771911621094,40.345306396484375,7.393121719360352,0.0,0.0,83.41614723205566,16,1332.5997514274638,4707.6354284220515,294.6817374019827,294.6817374019827,293.5045944158655,294.3238185636766,294.7623252244717,293.5045944158655,294.3238185636766,294.7623252244717,293.5045944158655,294.3238185636766,294.7623252244717,293.5045944158655,294.3238185636766,294.7623252244717,293.5045944158655,294.3238185636766,294.7623252244717
40,0.12778067588806152,0.1265547275543213,0.029993534088134766,0.0,0.0,35.77858924865723,40.49751281738281,7.498383522033691,0.0,0.0,83.77448558807373,16,1339.9429288800284,4712.650567746766,294.63932273542173,294.63932273542173,294.4016474372277,294.6601294050769,294.5404721599642,294.4016474372277,294.6601294050769,294.5404721599642,294.4016474372277,294.6601294050769,294.5404721599642,294.4016474372277,294.6601294050769,294.5404721599642,294.4016474372277,294.6601294050769,294.5404721599642
41,0.12516164779663086,0.12565851211547852,0.029691457748413086,0.09434795379638672,4.830267429351807,35.04526138305664,40.210723876953125,7.4228644371032715,16.98263168334961,338.11872005462646,437.7802014350891,16,7095.254763427316,1363.128077821143,84.10557540038343,84.10557540038343,87.94883495920362,84.01447794486948,83.84118758007882,87.94883495920362,84.01447794486948,83.84118758007882,87.94883495920362,84.01447794486948,83.84118758007882,87.94883495920362,84.01447794486948,83.84118758007882,87.94883495920362,84.01447794486948,83.84118758007882
42,0.1224985122680664,0.12827157974243164,0.029690980911254883,0.0,0.0,34.299583435058594,41.046905517578125,7.422745227813721,0.0,0.0,82.76923418045044,16,1320.5777559632015,4708.595535936052,295.1184394974578,295.1184394974578,293.35233896037556,295.0391671315357,294.3039131958076,293.35233896037556,295.0391671315357,294.3039131958076,293.35233896037556,295.0391671315357,294.3039131958076,293.35233896037556,295.0391671315357,294.3039131958076,293.35233896037556,295.0391671315357,294.3039131958076
43,0.12211418151855469,0.1222686767578125,0.029666900634765625,0.0,0.0,34.19197082519531,39.1259765625,7.416725158691406,0.0,0.0,80.73467254638672,16,1290.9748680379528,4710.731631975572,294.59858993186293,294.59858993186293,294.0826247454009,294.31225618282156,294.83172748051925,294.0826247454009,294.31225618282156,294.83172748051925,294.0826247454009,294.31225618282156,294.83172748051925,294.0826247454009,294.31225618282156,294.83172748051925,294.0826247454009,294.31225618282156,294.83172748051925
44,0.12359428405761719,0.12671494483947754,0.0298922061920166,0.0,0.0,34.60639953613281,40.54878234863281,7.47305154800415,0.0,0.0,82.62823343276978,16,1320.3915427016032,4712.29400478154,294.88868751329505,294.88868751329505,294.5018778384144,294.80580423014607,294.17338138508853,294.5018778384144,294.80580423014607,294.17338138508853,294.5018778384144,294.80580423014607,294.17338138508853,294.5018778384144,294.80580423014607,294.17338138508853,294.5018778384144,294.80580423014607,294.17338138508853
45,0.12391877174377441,0.12647509574890137,0.019452810287475586,0.0,0.0,34.697256088256836,40.47203063964844,4.8632025718688965,0.0,0.0,80.03248929977417,16,1278.6034366415195,4738.258951934251,296.5850458421355,296.5850458421355,295.0316709400724,296.6867664171121,296.6163438612386,295.0316709400724,296.6867664171121,296.6163438612386,295.0316709400724,296.6867664171121,296.6163438612386,295.0316709400724,296.6867664171121,296.6163438612386,295.0316709400724,296.6867664171121,296.6163438612386
46,0.12956571578979492,0.1263582706451416,0.029726505279541016,0.0,0.0,36.27840042114258,40.43464660644531,7.431626319885254,0.0,0.0,84.14467334747314,16,1346.6287740267933,4714.253302853819,294.57212848623453,294.57212848623453,294.7511795761223,294.690961661068,294.4940936363266,294.7511795761223,294.690961661068,294.4940936363266,294.7511795761223,294.690961661068,294.4940936363266,294.7511795761223,294.690961661068,294.4940936363266,294.7511795761223,294.690961661068,294.4940936363266
47,0.12394165992736816,0.12670278549194336,0.029574871063232422,0.0,0.0,34.703664779663086,40.544891357421875,7.3937177658081055,0.0,0.0,82.64227390289307,16,1318.771622772915,4706.21240293785,294.91997532597367,294.91997532597367,293.3769850426716,294.26682504584375,294.61467543386,293.3769850426716,294.26682504584375,294.61467543386,293.3769850426716,294.26682504584375,294.61467543386,293.3769850426716,294.26682504584375,294.61467543386,293.3769850426716,294.26682504584375,294.61467543386
48,0.12418293952941895,0.12603473663330078,0.029364824295043945,0.0,0.0,34.771223068237305,40.33111572265625,7.341206073760986,0.0,0.0,82.44354486465454,16,1317.7902200802387,4713.421683841461,294.8809196915714,294.8809196915714,294.4081047338822,294.67199251154494,294.62805558455085,294.4081047338822,294.67199251154494,294.62805558455085,294.4081047338822,294.67199251154494,294.62805558455085,294.4081047338822,294.67199251154494,294.62805558455085,294.4081047338822,294.67199251154494,294.62805558455085
49,0.12285208702087402,0.12517809867858887,0.029880285263061523,0.0,0.0,34.39858436584473,40.05699157714844,7.470071315765381,0.0,0.0,81.92564725875854,16,1308.4985879158019,4708.345761078754,294.7915095642655,294.7915095642655,293.49613810436455,294.5598896213605,294.6548225771726,293.49613810436455,294.5598896213605,294.6548225771726,293.49613810436455,294.5598896213605,294.6548225771726,293.49613810436455,294.5598896213605,294.6548225771726,293.49613810436455,294.5598896213605,294.6548225771726
50,0.12962675094604492,0.12668180465698242,0.029849767684936523,0.0,0.0,36.29549026489258,40.538177490234375,7.462441921234131,0.0,0.0,84.29610967636108,16,1348.3150319980114,4711.7798864134,294.5785700300358,294.5785700300358,294.5438068094101,294.42752796445916,294.46892850280364,294.5438068094101,294.42752796445916,294.46892850280364,294.5438068094101,294.42752796445916,294.46892850280364,294.5438068094101,294.42752796445916,294.46892850280364,294.5438068094101,294.42752796445916,294.46892850280364
